pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCDAI-BTCEUR,10/03-01/31,116.84406,2.2286853790283203,44,2.655547,33,54,2881,27.981861,-10.589252,44,0,44,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDC-HFTUSDC,10/03-01/31,40.14461,2.468477249145508,50,0.8028922,30,70,2881,29.834663,-7.1704926,50,0,50,15.0,15.0,14.999999046325684,15.000000953674316
ETHDAI-ETHEUR,10/03-01/31,72.72957,2.544034957885742,52,1.3986455,37,67,2881,14.636465,-4.5056787,52,0,52,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDT-HFTUSDC,10/03-01/31,1.3184052,2.351942300796509,49,0.026906228,27,71,2881,7.498116,-7.927419,49,0,49,15.0,15.0,14.999999046325684,15.000000953674316
BTCUSDC-BTCUSDT,10/03-01/31,0.76174664,3.591432809829712,71,0.010728826,43,99,2881,0.8445838,-0.47981685,71,0,71,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDC-HFTUSDT,10/03-01/31,4.65264,2.3741865158081055,49,0.09495183,29,69,2881,10.589851,-7.4321346,49,0,49,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,10/03-01/31,5.71196,2.2388548851013184,45,0.12693244,22,68,2881,30.009628,-21.795052,45,0,45,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDT-HFTUSDT,10/03-01/31,10.564253,2.148317813873291,45,0.23476118,27,63,2881,8.236931,-7.8492575,45,0,45,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,10/03-01/31,22.157288,2.526472568511963,51,0.43445662,26,76,2881,11.614385,-6.5159073,51,0,51,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,10/03-01/31,-0.16477929,3.6836791038513184,69,-0.0023881057,39,99,2881,0.8468987,-0.55871403,69,0,69,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,10/03-01/31,-37.690273,2.7289538383483887,53,-0.71113724,26,80,2881,5.2992606,-36.9872,53,0,53,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDC,10/03-01/31,-38.198288,2.8439559936523438,55,-0.69451433,26,84,2881,3.846064,-36.2625,55,0,55,15.0,15.0,14.999999046325684,15.000000953674316
BTCDAI-BTCEUR,11/02-03/01,39.75658,3.4725074768066406,59,0.67384034,42,76,2881,12.773615,-7.978737,59,0,0,17.982465744018555,17.982467651367188,17.982467651367188,17.98246955871582
AGLDUSDT-HFTUSDT,11/02-03/01,79.84823,2.7675552368164062,46,1.735831,24,68,2881,69.31554,-8.428395,46,0,0,17.98246955871582,17.982467651367188,17.982467651367188,17.98246955871582
ETHDAI-ETHEUR,11/02-03/01,157.98955,3.5386152267456055,58,2.7239578,40,75,2881,116.59214,-2.713953,58,0,0,17.982465744018555,17.982467651367188,17.982467651367188,17.98246955871582
APEUSDC-HFTUSDT,11/02-03/01,-49.548355,2.6541383266448975,44,-1.126099,17,71,2881,17.23815,-22.437365,44,0,0,17.98246955871582,17.982467651367188,17.982467651367188,17.982467651367188
BTCUSDC-BTCUSDT,11/02-03/01,0.3690703,3.7158448696136475,64,0.0057667233,18,110,2881,0.77844495,-0.65865505,64,0,0,17.982467651367188,17.982467651367188,17.982467651367188,17.982467651367188
