pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCDAI-BTCEUR,10/03-01/31,49.010838,2.176687717437744,36,1.3614122,21,50,2881,18.920652,-14.213012,36,0,0,17.5,17.5,17.5,17.5
APEUSDC-HFTUSDC,10/03-01/31,43.752007,2.425537586212158,42,1.0417144,23,61,2881,34.85947,-8.365575,42,0,0,17.5,17.5,17.5,17.5
ETHDAI-ETHEUR,10/03-01/31,48.46665,2.165644645690918,39,1.2427346,28,50,2881,11.651153,-6.61786,39,0,0,17.5,17.5,17.499998092651367,17.500001907348633
APEUSDT-HFTUSDC,10/03-01/31,12.15947,2.4189658164978027,43,0.28277835,25,61,2881,11.014242,-9.248655,43,0,0,17.5,17.5,17.5,17.5
BTCUSDC-BTCUSDT,10/03-01/31,1.8597094,3.5671117305755615,55,0.0338129,32,78,2881,1.6792235,-0.33388716,55,0,0,17.5,17.5,17.5,17.5
APEUSDC-HFTUSDT,10/03-01/31,40.172783,2.3591744899749756,41,0.97982395,24,58,2881,35.38966,-8.269311,41,0,0,17.5,17.5,17.5,17.5
ETCUSDT-JUVUSDT,10/03-01/31,71.26121,2.151289939880371,38,1.8752949,23,53,2881,49.39776,-18.490128,38,0,0,17.5,17.5,17.5,17.5
APEUSDT-HFTUSDT,10/03-01/31,15.760012,2.086310625076294,37,0.42594627,22,52,2881,12.02579,-9.157467,37,0,0,17.5,17.5,17.5,17.5
ATOMUSDT-GODSUSDT,10/03-01/31,69.12606,2.2631795406341553,38,1.8191068,23,53,2881,23.39521,-2.0547729,38,0,0,17.5,17.5,17.5,17.5
AGLDUSDT-HFTUSDC,10/03-01/31,-2.5347252,2.3456668853759766,41,-0.061822567,19,63,2881,18.675312,-17.878914,41,0,0,17.5,17.5,17.5,17.5
ETHUSDC-ETHUSDT,10/03-01/31,-0.012247182,3.440110206604004,56,-0.00021869969,30,82,2881,0.98804843,-0.65183306,56,0,0,17.5,17.5,17.499998092651367,17.5
AGLDUSDT-HFTUSDT,10/03-01/31,-0.84861755,2.3507821559906006,41,-0.020697989,19,62,2881,17.157993,-17.191513,41,0,0,17.5,17.5,17.5,17.5
AXSUSDT-DOTUSDT,10/03-01/31,17.01891,2.5645017623901367,46,0.36997628,24,68,2881,7.178712,-4.580572,46,0,0,17.5,17.5,17.499998092651367,17.5
APEUSDC-ATOMUSDT,10/03-01/31,-13.393489,2.387322187423706,43,-0.3114765,18,68,2881,3.6510537,-4.584659,43,0,0,17.5,17.5,17.5,17.5
AXSUSDT-DOTUSDC,10/03-01/31,16.64278,2.5071468353271484,45,0.36983955,23,67,2881,7.828888,-4.5602946,45,0,0,17.5,17.5,17.5,17.5
BTCDAI-BTCEUR,11/02-03/01,75.048096,3.6898388862609863,46,1.6314803,34,58,2881,15.706359,-3.3332913,46,0,0,23.94772720336914,23.947723388671875,23.947721481323242,23.947725296020508
AGLDUSDT-HFTUSDT,11/02-03/01,73.86133,3.39987850189209,43,1.7177052,18,68,2881,71.54903,-11.222838,43,0,0,23.947725296020508,23.947723388671875,23.947721481323242,23.947725296020508
ETHDAI-ETHEUR,11/02-03/01,212.15796,4.006007194519043,49,4.3297544,31,66,2881,155.26881,-2.7914238,49,0,0,23.947723388671875,23.947723388671875,23.947721481323242,23.947725296020508
APEUSDC-HFTUSDT,11/02-03/01,-6.850088,3.2743656635284424,42,-0.16309734,18,66,2881,18.062687,-17.128246,42,0,0,23.947725296020508,23.947723388671875,23.947723388671875,23.947725296020508
