pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.5294579,2.360146999359131,47,0.011265063,35,58,2881,1.0035684,-1.354718,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,7.2281995,2.1439108848571777,44,0.16427726,23,65,2881,16.742468,-4.2081146,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,-1.1900232,1.5342148542404175,32,-0.037188224,11,53,2881,2.6821153,-2.2134676,32,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CELOUSDT-FLOWUSDT,01/31-05/31,0.5005398,2.1396145820617676,45,0.011123106,23,66,2881,5.212145,-4.6990137,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
1INCHUSDT-AXSUSDT,01/31-05/31,-3.884698,1.9576752185821533,40,-0.09711745,21,59,2881,2.1150446,-4.0310225,40,0,0,15.0,15.0,14.999999046325684,15.0
ETCUSDT-JUVUSDT,01/31-05/31,20.51939,1.8032262325286865,37,0.5545781,20,54,2881,20.507504,-5.9844065,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,0.26095223,1.569650411605835,33,0.007907644,13,52,2881,4.311879,-3.060485,33,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-4.9470954,2.121913433074951,44,-0.112433985,21,67,2881,1.9666655,-4.88481,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ENJUSDT-FILUSDC,01/31-05/31,-1.3407866,1.3954399824142456,29,-0.04623402,11,47,2881,1.4576741,-1.1164188,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
C98USDT-FILUSDT,01/31-05/31,2.4405155,1.9414719343185425,40,0.061012886,20,60,2881,2.0449278,-1.9038212,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,7.3037386,2.1054294109344482,44,0.16599406,24,64,2881,3.340011,-2.30457,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,6.4614635,1.979323148727417,41,0.15759666,21,61,2881,8.117019,-4.661136,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-26.807148,1.1530869007110596,23,-1.1655282,9,37,2881,15.36742,-32.4629,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BICOUSDT-ETHWUSDT,01/31-05/31,12.0696745,2.155548095703125,45,0.268215,29,60,2881,6.3936634,-0.92949176,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-KASTAUSDT,01/31-05/31,5.4179597,2.00156307220459,41,0.13214536,30,52,2881,1.997909,-6.094626,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,17.365526,1.1991784572601318,25,0.694621,10,40,2881,9.933279,-2.8532436,25,0,0,15.0,15.0,14.999999046325684,15.0
DOTUSDC-KDAUSDT,01/31-05/31,7.807496,2.0632243156433105,43,0.18156968,21,65,2881,8.196598,-4.3029675,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-3.4144027,1.5029445886611938,32,-0.106700085,16,47,2881,4.570761,-3.810183,32,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FIDAUSDT-HOOKUSDT,01/31-05/31,10.891069,1.9346699714660645,40,0.27227673,25,55,2881,11.745185,-5.8939524,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-FLOWUSDT,01/31-05/31,-11.419876,1.996789813041687,41,-0.27853358,22,60,2881,2.9064858,-5.738518,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,1.3155236,2.009326696395874,42,0.03132199,27,57,2881,2.7131782,-3.1924598,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,60.378216,2.009523868560791,41,1.4726394,22,59,2881,50.981335,-2.666974,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-11.081419,1.4465941190719604,30,-0.36938062,13,47,2881,2.0742111,-6.8656883,30,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CELOUSDT-ENJUSDT,01/31-05/31,-2.1743393,2.1218271255493164,44,-0.049416803,20,67,2881,3.4969623,-2.7361956,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,52.938995,1.9380531311035156,39,1.3574102,23,55,2881,28.307234,-4.8708825,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,3.5473902,2.1725080013275146,45,0.07883089,29,61,2881,2.2651477,-2.2343097,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,1.6014547,2.0707693099975586,43,0.03724313,23,63,2881,5.6713557,-3.6280475,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
GLMRUSDT-KCALUSDT,01/31-05/31,18.440937,1.808072805404663,37,0.4984037,18,56,2881,15.314048,-3.2958293,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,4.1755295,1.3515663146972656,28,0.14912605,14,42,2881,6.4549866,-3.3946214,28,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-3.53867,1.8307373523712158,38,-0.0931229,15,61,2881,3.8844311,-2.8303394,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
