config_path,pvalue,kpss_pvalue_threshold,max_hurst_exponent,min_correlation,min_half_life_days,max_half_life_days
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p05_h0p65_c0p35_hl0p001-100.yaml,0.3,0.05,0.65,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p05_h0p65_c0p35_hl0p01-60.yaml,0.3,0.05,0.65,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p05_h0p65_c0p40_hl0p001-100.yaml,0.3,0.05,0.65,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p05_h0p65_c0p40_hl0p01-60.yaml,0.3,0.05,0.65,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p05_h0p70_c0p35_hl0p001-100.yaml,0.3,0.05,0.7,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p05_h0p70_c0p35_hl0p01-60.yaml,0.3,0.05,0.7,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p05_h0p70_c0p40_hl0p001-100.yaml,0.3,0.05,0.7,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p05_h0p70_c0p40_hl0p01-60.yaml,0.3,0.05,0.7,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p60_c0p35_hl0p001-100.yaml,0.3,0.07,0.6,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p60_c0p35_hl0p01-60.yaml,0.3,0.07,0.6,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p60_c0p40_hl0p001-100.yaml,0.3,0.07,0.6,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p60_c0p40_hl0p01-60.yaml,0.3,0.07,0.6,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p65_c0p35_hl0p001-100.yaml,0.3,0.07,0.65,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p65_c0p35_hl0p01-60.yaml,0.3,0.07,0.65,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p65_c0p40_hl0p001-100.yaml,0.3,0.07,0.65,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p65_c0p40_hl0p01-60.yaml,0.3,0.07,0.65,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p70_c0p35_hl0p001-100.yaml,0.3,0.07,0.7,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p70_c0p35_hl0p01-60.yaml,0.3,0.07,0.7,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p70_c0p40_hl0p001-100.yaml,0.3,0.07,0.7,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p30_kpss0p07_h0p70_c0p40_hl0p01-60.yaml,0.3,0.07,0.7,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p60_c0p35_hl0p001-100.yaml,0.4,0.03,0.6,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p60_c0p35_hl0p01-60.yaml,0.4,0.03,0.6,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p60_c0p40_hl0p001-100.yaml,0.4,0.03,0.6,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p60_c0p40_hl0p01-60.yaml,0.4,0.03,0.6,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p65_c0p35_hl0p001-100.yaml,0.4,0.03,0.65,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p65_c0p35_hl0p01-60.yaml,0.4,0.03,0.65,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p65_c0p40_hl0p001-100.yaml,0.4,0.03,0.65,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p65_c0p40_hl0p01-60.yaml,0.4,0.03,0.65,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p70_c0p35_hl0p001-100.yaml,0.4,0.03,0.7,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p70_c0p35_hl0p01-60.yaml,0.4,0.03,0.7,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p70_c0p40_hl0p001-100.yaml,0.4,0.03,0.7,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p03_h0p70_c0p40_hl0p01-60.yaml,0.4,0.03,0.7,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p60_c0p35_hl0p001-100.yaml,0.4,0.05,0.6,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p60_c0p35_hl0p01-60.yaml,0.4,0.05,0.6,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p60_c0p40_hl0p001-100.yaml,0.4,0.05,0.6,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p60_c0p40_hl0p01-60.yaml,0.4,0.05,0.6,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p65_c0p35_hl0p001-100.yaml,0.4,0.05,0.65,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p65_c0p35_hl0p01-60.yaml,0.4,0.05,0.65,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p65_c0p40_hl0p001-100.yaml,0.4,0.05,0.65,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p65_c0p40_hl0p01-60.yaml,0.4,0.05,0.65,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p70_c0p35_hl0p001-100.yaml,0.4,0.05,0.7,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p70_c0p35_hl0p01-60.yaml,0.4,0.05,0.7,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p70_c0p40_hl0p001-100.yaml,0.4,0.05,0.7,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p05_h0p70_c0p40_hl0p01-60.yaml,0.4,0.05,0.7,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p60_c0p35_hl0p001-100.yaml,0.4,0.07,0.6,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p60_c0p35_hl0p01-60.yaml,0.4,0.07,0.6,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p60_c0p40_hl0p001-100.yaml,0.4,0.07,0.6,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p60_c0p40_hl0p01-60.yaml,0.4,0.07,0.6,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p65_c0p35_hl0p001-100.yaml,0.4,0.07,0.65,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p65_c0p35_hl0p01-60.yaml,0.4,0.07,0.65,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p65_c0p40_hl0p001-100.yaml,0.4,0.07,0.65,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p65_c0p40_hl0p01-60.yaml,0.4,0.07,0.65,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p70_c0p35_hl0p001-100.yaml,0.4,0.07,0.7,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p70_c0p35_hl0p01-60.yaml,0.4,0.07,0.7,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p70_c0p40_hl0p001-100.yaml,0.4,0.07,0.7,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p40_kpss0p07_h0p70_c0p40_hl0p01-60.yaml,0.4,0.07,0.7,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p60_c0p35_hl0p001-100.yaml,0.5,0.03,0.6,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p60_c0p35_hl0p01-60.yaml,0.5,0.03,0.6,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p60_c0p40_hl0p001-100.yaml,0.5,0.03,0.6,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p60_c0p40_hl0p01-60.yaml,0.5,0.03,0.6,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p65_c0p35_hl0p001-100.yaml,0.5,0.03,0.65,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p65_c0p35_hl0p01-60.yaml,0.5,0.03,0.65,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p65_c0p40_hl0p001-100.yaml,0.5,0.03,0.65,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p65_c0p40_hl0p01-60.yaml,0.5,0.03,0.65,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p70_c0p35_hl0p001-100.yaml,0.5,0.03,0.7,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p70_c0p35_hl0p01-60.yaml,0.5,0.03,0.7,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p70_c0p40_hl0p001-100.yaml,0.5,0.03,0.7,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p03_h0p70_c0p40_hl0p01-60.yaml,0.5,0.03,0.7,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p60_c0p35_hl0p001-100.yaml,0.5,0.05,0.6,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p60_c0p35_hl0p01-60.yaml,0.5,0.05,0.6,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p60_c0p40_hl0p001-100.yaml,0.5,0.05,0.6,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p60_c0p40_hl0p01-60.yaml,0.5,0.05,0.6,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p65_c0p35_hl0p001-100.yaml,0.5,0.05,0.65,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p65_c0p35_hl0p01-60.yaml,0.5,0.05,0.65,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p65_c0p40_hl0p001-100.yaml,0.5,0.05,0.65,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p65_c0p40_hl0p01-60.yaml,0.5,0.05,0.65,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p70_c0p35_hl0p001-100.yaml,0.5,0.05,0.7,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p70_c0p35_hl0p01-60.yaml,0.5,0.05,0.7,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p70_c0p40_hl0p001-100.yaml,0.5,0.05,0.7,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p05_h0p70_c0p40_hl0p01-60.yaml,0.5,0.05,0.7,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p60_c0p35_hl0p001-100.yaml,0.5,0.07,0.6,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p60_c0p35_hl0p01-60.yaml,0.5,0.07,0.6,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p60_c0p40_hl0p001-100.yaml,0.5,0.07,0.6,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p60_c0p40_hl0p01-60.yaml,0.5,0.07,0.6,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p65_c0p35_hl0p001-100.yaml,0.5,0.07,0.65,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p65_c0p35_hl0p01-60.yaml,0.5,0.07,0.65,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p65_c0p40_hl0p001-100.yaml,0.5,0.07,0.65,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p65_c0p40_hl0p01-60.yaml,0.5,0.07,0.65,0.4,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p70_c0p35_hl0p001-100.yaml,0.5,0.07,0.7,0.35,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p70_c0p35_hl0p01-60.yaml,0.5,0.07,0.7,0.35,0.01,60
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p70_c0p40_hl0p001-100.yaml,0.5,0.07,0.7,0.4,0.001,100
configs/selection_grid_20260115/selgrid_20260115_exit0p06_pv0p50_kpss0p07_h0p70_c0p40_hl0p01-60.yaml,0.5,0.07,0.7,0.4,0.01,60
