pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETCUSDT-JUVUSDT,01/31-05/16,14.435561,0.9397498965263367,19,0.7597664,10,28,1441,20.507504,-5.9844065,19,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,01/31-05/16,8.387106,0.9899986982345581,21,0.399386,10,31,1441,8.196598,-4.3029675,21,0,0,15.0,15.0,14.999999046325684,15.0
CRVUSDT-KDAUSDT,01/31-05/16,-15.159126,1.1213607788085938,23,-0.6590924,12,33,1441,2.4514718,-6.8656883,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/16,5.1420875,0.9346558451652527,20,0.25710437,12,27,1441,2.430739,-1.384735,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/16,59.018852,0.9255894422531128,18,3.278825,10,26,1441,50.981335,-2.666974,18,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/16,-5.3581605,0.7618682384490967,16,-0.33488503,6,26,1441,1.6452016,-3.6280475,16,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/16,18.654343,0.6209884285926819,13,1.4349494,6,20,1441,9.933279,-2.8532436,13,0,0,15.0,15.0,14.999999046325684,15.0
BLURUSDT-LDOUSDT,01/31-05/16,-1.4654093,0.8718309998512268,18,-0.08141163,8,28,1441,3.8844311,-2.8303394,18,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/16,-7.2485023,1.0424253940582275,22,-0.32947737,9,34,1441,2.833252,-4.7419157,22,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/16,-0.9848559,0.9259705543518066,20,-0.049242795,11,28,1441,2.7131782,-3.1924598,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/16,-7.7451982,1.0785541534423828,23,-0.33674774,11,34,1441,4.0750933,-4.008495,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CELOUSDT-FLOWUSDT,01/31-05/16,4.0898066,1.0365254878997803,22,0.1859003,12,31,1441,5.212145,-4.6990137,22,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/16,47.845566,1.080195665359497,21,2.2783604,11,31,1441,28.307234,-4.8708825,21,0,0,15.0,15.0,14.999999046325684,15.0
CRVUSDT-HFTUSDT,01/31-05/16,-7.74037,1.130434274673462,24,-0.3225154,9,38,1441,4.0869155,-2.948745,24,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ENJUSDT-FILUSDC,01/31-05/16,0.61355436,1.0401211977005005,21,0.029216874,10,32,1441,5.4656124,-1.5161152,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/16,1.1014704,0.6027827858924866,13,0.08472849,6,19,1441,6.4549866,-3.3946214,13,0,0,15.0,15.0,14.999999046325684,15.0
AGLDUSDT-HFTUSDC,01/31-05/16,3.9717317,1.0575354099273682,22,0.18053326,11,32,1441,1.9666655,-1.8480668,22,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BICOUSDT-ETHWUSDT,01/31-05/16,3.2430124,0.7796328067779541,16,0.20268828,8,24,1441,2.2792687,-1.4392041,16,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/16,3.9575763,0.6107951402664185,13,0.30442894,6,19,1441,6.1794868,-3.632739,13,0,0,15.0,15.0,15.0,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/16,-24.64854,0.6493961215019226,13,-1.8960416,5,21,1441,15.36742,-32.4629,13,0,0,15.0,15.0,15.0,15.000000953674316
FIDAUSDT-HOOKUSDT,01/31-05/16,7.15028,0.9841704368591309,20,0.357514,10,30,1441,11.745185,-5.8939524,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/16,4.4378567,0.9324151873588562,19,0.23357141,9,29,1441,8.117019,-4.661136,19,0,0,15.0,15.0,15.0,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/16,-6.6713824,1.0187864303588867,21,-0.3176849,9,33,1441,2.0042145,-2.5850778,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CELOUSDT-ENJUSDT,01/31-05/16,-0.7170119,0.9404851198196411,19,-0.03773747,8,30,1441,3.4969623,-2.7361956,19,0,0,15.0,15.0,15.0,15.000000953674316
ETCUSDT-JUVUSDT,02/15-05/31,-25.524391,1.1238877773284912,18,-1.4180217,8,28,1441,25.013327,-25.21762,18,0,0,16.56465721130371,16.564653396606445,16.564653396606445,16.564655303955078
BLURUSDT-LDOUSDT,02/15-05/31,-6.71428,0.939244270324707,16,-0.4196425,9,23,1441,38.89658,-46.6886,16,0,0,16.564655303955078,16.564653396606445,16.564653396606445,16.564655303955078
GLMRUSDT-KCALUSDT,02/15-05/31,11.929115,1.0698915719985962,19,0.62784815,8,30,1441,23.575697,-6.926034,19,0,0,16.56465721130371,16.564653396606445,16.564653396606445,16.564655303955078
ATOMUSDT-KCALUSDT,02/15-05/31,-22.786077,1.042455792427063,19,-1.1992673,10,28,1441,10.781473,-25.822187,19,0,0,16.56465721130371,16.564653396606445,16.564653396606445,16.564655303955078
AGLDUSDT-HFTUSDC,02/15-05/31,-14.940483,0.7994000911712646,15,-0.9960322,9,21,1441,10.043939,-34.81956,15,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564655303955078
GMTUSDC-HOOKUSDT,02/15-05/31,53.02105,1.0525267124176025,16,3.3138156,7,25,1441,79.847374,-24.549162,16,0,0,16.564655303955078,16.564653396606445,16.564653396606445,16.564655303955078
AXSUSDT-DOTUSDT,02/15-05/31,-0.38838053,1.186575174331665,22,-0.01765366,12,32,1441,12.835339,-14.191211,22,0,0,16.564659118652344,16.564653396606445,16.564653396606445,16.564655303955078
CRVUSDT-HFTUSDC,02/15-05/31,79.58472,1.1322851181030273,19,4.188669,8,30,1441,64.34291,-5.603121,19,0,0,16.564655303955078,16.564653396606445,16.564653396606445,16.564655303955078
GMTUSDT-HOOKUSDT,02/15-05/31,73.356766,0.9193248748779297,15,4.890451,6,23,1441,80.25034,-13.303284,15,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564655303955078
DOTUSDT-FTTUSDT,02/15-05/31,64.146706,0.8657004833221436,15,4.276447,8,22,1441,54.135864,-25.179243,15,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564653396606445
CRVUSDT-HFTUSDT,02/15-05/31,76.41023,0.9534319639205933,16,4.7756395,7,25,1441,60.27506,-4.7302,16,0,0,16.564655303955078,16.564653396606445,16.564653396606445,16.564655303955078
CELOUSDT-FLOWUSDT,02/15-05/31,59.968475,1.2615177631378174,22,2.7258399,12,31,1441,75.190704,-17.733267,22,0,0,16.564659118652344,16.564653396606445,16.564653396606445,16.564655303955078
DOTUSDC-FTTUSDT,02/15-05/31,-17.76959,0.9398339986801147,17,-1.04527,6,28,1441,22.347534,-19.002083,17,0,0,16.564655303955078,16.564653396606445,16.564653396606445,16.564655303955078
FLOWUSDT-JSTUSDT,02/15-05/31,71.13059,1.381486177444458,23,3.0926344,15,30,1441,36.3299,-36.58963,23,0,0,16.564659118652344,16.564653396606445,16.564653396606445,16.564655303955078
BATUSDT-JUVUSDT,02/15-05/31,-61.975246,0.8910418152809143,15,-4.131683,4,26,1441,5.770201,-38.42021,15,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564655303955078
DYDXUSDT-KCALUSDT,02/15-05/31,-16.414957,0.6577916741371155,12,-1.3679131,3,21,1441,1.6281142,-7.8623447,12,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564655303955078
CRVUSDT-KDAUSDT,02/15-05/31,-3.1574435,0.705909788608551,14,-0.22553168,6,22,1441,7.090401,-10.706082,14,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564655303955078
CELOUSDT-ENJUSDT,02/15-05/31,0.05121517,1.2629057168960571,23,0.0022267466,13,32,1441,10.243675,-15.795958,23,0,0,16.56465721130371,16.564653396606445,16.564653396606445,16.564653396606445
DOTUSDT-KDAUSDT,02/15-05/31,2.063343,0.8536646366119385,17,0.12137312,6,28,1441,21.895046,-14.164323,17,0,0,16.564655303955078,16.564653396606445,16.564653396606445,16.564655303955078
AVAUSDT-KASTAUSDT,02/15-05/31,38.84844,0.7409231662750244,13,2.9883413,5,21,1441,40.70609,-20.091333,13,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564655303955078
FIDAUSDT-HOOKUSDT,02/15-05/31,13.507274,1.1424354314804077,18,0.7504041,13,23,1441,24.699633,-35.537533,18,0,0,16.56465721130371,16.564653396606445,16.564653396606445,16.564655303955078
DOTUSDC-KDAUSDT,02/15-05/31,3.2976155,0.7731534242630005,15,0.21984103,5,25,1441,23.03409,-15.179584,15,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564655303955078
CRVUSDT-DOTUSDT,02/15-05/31,124.61887,1.185508370399475,17,7.330522,6,27,1441,111.1497,-7.92156,17,0,0,16.564653396606445,16.564653396606445,16.564653396606445,16.564653396606445
CTCUSDT-ERTHAUSDT,02/15-05/31,3.328199,1.0044540166854858,19,0.17516837,9,29,1441,4.319438,-3.2457485,19,0,0,16.56465721130371,16.564653396606445,16.564653396606445,16.564655303955078
ETCUSDT-JUVUSDT,03/02-06/15,-65.00616,1.6604573726654053,20,-3.2503078,11,28,1441,12.535994,-28.583132,20,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
DOTUSDT-KDAUSDT,03/02-06/15,7.9780316,1.5914289951324463,19,0.4198964,13,25,1441,2.9299674,-4.4784694,19,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
GLMRUSDT-KCALUSDT,03/02-06/15,-17.7985,1.4855055809020996,20,-0.889925,11,28,1441,3.2929952,-11.616288,20,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
ATOMUSDT-KCALUSDT,03/02-06/15,-66.46281,1.5222978591918945,20,-3.3231404,5,34,1441,5.0308776,-24.052881,20,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
DOTUSDC-KDAUSDT,03/02-06/15,-1.5578116,1.5853550434112549,20,-0.07789058,12,28,1441,3.2252154,-7.3788776,20,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
CRVUSDT-KDAUSDT,03/02-06/15,-4.355653,1.6835780143737793,22,-0.19798422,11,33,1441,13.186313,-12.433683,22,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
DOTUSDC-FTTUSDT,03/02-06/15,4.7869444,1.548771619796753,20,0.23934722,9,31,1441,17.236729,-6.5755053,20,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
FLOWUSDT-HVHUSDT,03/02-06/15,33.2677,1.9094791412353516,24,1.3861542,15,33,1441,9.6775875,-4.647274,24,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
CRVUSDT-DOTUSDT,03/02-06/15,-23.52135,1.8070077896118164,22,-1.0691524,9,35,1441,3.851434,-9.049346,22,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
DOTUSDT-FTTUSDT,03/02-06/15,10.574894,1.4766122102737427,19,0.5565734,10,28,1441,27.14969,-11.320981,19,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
GMTUSDC-KCALUSDT,03/02-06/15,-6.578662,1.600693702697754,19,-0.34624538,7,31,1441,60.587757,-46.733536,19,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
GMTUSDC-HOOKUSDT,03/02-06/15,-58.678944,2.0143113136291504,23,-2.5512583,14,32,1441,21.943401,-70.135735,23,0,0,24.148530960083008,24.148530960083008,24.148529052734375,24.148530960083008
AXSUSDT-DOTUSDT,03/02-06/15,42.19819,1.6307713985443115,20,2.1099095,9,30,1441,49.475094,-8.484163,20,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
1INCHUSDT-ACSUSDT,03/02-06/15,8.35397,0.9859218597412109,12,0.69616413,6,18,1441,18.166103,-10.876353,12,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
GMTUSDT-HOOKUSDT,03/02-06/15,-14.315415,1.7516201734542847,21,-0.68168646,12,30,1441,21.723335,-41.33402,21,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
APEUSDT-HFTUSDC,03/02-06/15,-13.83914,1.7066947221755981,22,-0.6290518,8,35,1441,23.7694,-16.92239,22,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
CRVUSDT-HFTUSDC,03/02-06/15,19.778303,1.6043680906295776,19,1.0409633,11,27,1441,22.34517,-26.374878,19,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
GODSUSDT-KCALUSDT,03/02-06/15,59.044815,1.5833914279937744,19,3.107622,13,25,1441,44.374615,-10.725016,19,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
APEUSDT-HFTUSDT,03/02-06/15,-7.514366,1.77091383934021,22,-0.3415621,8,35,1441,24.596464,-23.660501,22,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
CRVUSDT-HFTUSDT,03/02-06/15,19.094608,1.6572985649108887,22,0.86793673,11,33,1441,7.1976604,-3.5402155,22,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
CELOUSDT-ENJUSDT,03/02-06/15,-31.89785,1.6007479429244995,20,-1.5948925,7,32,1441,7.9500747,-18.976807,20,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
APEUSDC-HFTUSDC,03/02-06/15,7.206606,1.7004210948944092,21,0.34317172,6,36,1441,23.393774,-23.282766,21,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
FLOWUSDT-JSTUSDT,03/02-06/15,-38.10107,1.2940380573272705,16,-2.381317,3,29,1441,2.8286448,-20.574694,16,0,0,24.148529052734375,24.148529052734375,24.148529052734375,24.148530960083008
CTCUSDT-ERTHAUSDT,03/02-06/15,138.23425,1.63139009475708,19,7.275487,10,27,1441,140.13991,-19.207787,19,0,0,24.148529052734375,24.148530960083008,24.148529052734375,24.148530960083008
AAVEUSDT-ICXUSDT,03/17-06/30,54.152626,1.6904635429382324,22,2.461483,11,32,1441,58.980064,-10.900284,22,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131059646606445
APEUSDC-HFTUSDC,03/17-06/30,53.55517,1.6131813526153564,21,2.550246,10,31,1441,27.135227,-8.75665,21,0,0,24.13106346130371,24.131059646606445,24.131059646606445,24.131061553955078
GMTUSDT-HOOKUSDT,03/17-06/30,-10.232937,1.6199448108673096,21,-0.4872827,9,33,1441,14.119291,-10.253673,21,0,0,24.13106346130371,24.131059646606445,24.131059646606445,24.131061553955078
ETCUSDT-JUVUSDT,03/17-06/30,133.03514,1.7805333137512207,20,6.6517572,11,29,1441,129.05978,-24.085016,20,0,0,24.13106346130371,24.131059646606445,24.131059646606445,24.131061553955078
APEUSDC-HFTUSDT,03/17-06/30,34.525963,0.9445466995239258,13,2.6558433,6,19,1441,23.44228,-9.080418,13,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131061553955078
CTCUSDT-ERTHAUSDT,03/17-06/30,-55.715538,1.096848964691162,13,-4.2858105,4,22,1441,19.146019,-29.528765,13,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131059646606445
CITYUSDT-IZIUSDT,03/17-06/30,32.870697,1.0929547548294067,14,2.3479068,8,20,1441,9.547115,-4.31503,14,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131059646606445
CRVUSDT-HFTUSDC,03/17-06/30,-11.414704,1.683858036994934,20,-0.5707352,10,30,1441,20.488348,-15.313184,20,0,0,24.131061553955078,24.131059646606445,24.131057739257812,24.131059646606445
CELOUSDT-ENJUSDT,03/17-06/30,-40.746788,1.8533116579055786,22,-1.8521267,9,34,1441,32.32269,-64.460945,22,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131061553955078
DOTUSDC-FTTUSDT,03/17-06/30,9.324824,1.3142294883728027,17,0.5485191,7,27,1441,9.455961,-4.4415894,17,0,0,24.131059646606445,24.131059646606445,24.131057739257812,24.131061553955078
CRVUSDT-HFTUSDT,03/17-06/30,285.5126,2.0671653747558594,20,14.27563,8,32,1441,305.21094,-14.897206,20,0,0,24.13106346130371,24.131059646606445,24.131059646606445,24.131061553955078
FIDAUSDT-HOOKUSDT,03/17-06/30,0.49445963,1.2501420974731445,16,0.030903727,4,28,1441,29.168846,-19.166323,16,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131061553955078
DOTUSDT-FTTUSDT,03/17-06/30,17.865355,1.2998270988464355,17,1.0509032,8,26,1441,10.01739,-4.4963837,17,0,0,24.131059646606445,24.131059646606445,24.131059646606445,24.131059646606445
CRVUSDT-KDAUSDT,03/17-06/30,34.449085,1.47563898563385,18,1.913838,8,28,1441,32.09549,-9.941093,18,0,0,24.13106346130371,24.131059646606445,24.131059646606445,24.131061553955078
GODSUSDT-KSMUSDT,03/17-06/30,2.6610546,1.343313217163086,16,0.16631591,5,27,1441,22.156715,-13.363175,16,0,0,24.131059646606445,24.131059646606445,24.131057739257812,24.131061553955078
FTTUSDT-KSMUSDT,03/17-06/30,-17.462719,1.226757526397705,16,-1.0914199,5,27,1441,3.59563,-8.797484,16,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131061553955078
HFTUSDC-KDAUSDT,03/17-06/30,76.02182,1.9842348098754883,20,3.801091,12,28,1441,48.909912,-7.397313,20,0,0,24.131061553955078,24.131059646606445,24.131057739257812,24.131061553955078
BATUSDT-ETCUSDT,03/17-06/30,-26.179865,1.7186154127120972,20,-1.3089932,11,28,1441,8.075479,-20.01819,20,0,0,24.13106346130371,24.131059646606445,24.131057739257812,24.131061553955078
APEUSDT-HFTUSDC,03/17-06/30,27.227858,1.370890498161316,18,1.5126587,8,27,1441,17.251492,-9.046574,18,0,0,24.13106346130371,24.131059646606445,24.131057739257812,24.131061553955078
FIDAUSDT-GALFTUSDT,03/17-06/30,-200.57732,2.0111589431762695,23,-8.720753,5,40,1441,36.055595,-98.8327,23,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131059646606445
ALGOUSDT-FLOWUSDT,03/17-06/30,57.18397,1.4907875061035156,18,3.1768873,10,26,1441,47.302105,-4.405164,18,0,0,24.131061553955078,24.131059646606445,24.131057739257812,24.131061553955078
APEUSDT-HFTUSDT,03/17-06/30,57.790203,1.209600806236267,15,3.8526802,7,22,1441,25.039263,-9.019524,15,0,0,24.13106346130371,24.131059646606445,24.131057739257812,24.131061553955078
GMTUSDC-HOOKUSDT,03/17-06/30,-20.506798,1.6986651420593262,22,-0.9321272,10,34,1441,16.038755,-11.877427,22,0,0,24.131061553955078,24.131059646606445,24.131057739257812,24.131059646606445
JSTUSDT-JUVUSDT,03/17-06/30,-110.51538,1.4520602226257324,17,-6.5009046,8,26,1441,17.81183,-61.936707,17,0,0,24.131061553955078,24.131059646606445,24.131059646606445,24.131061553955078
DOTUSDC-FTTUSDT,04/01-07/15,-41.55846,1.9561009407043457,20,-2.077923,6,34,1441,15.101748,-22.126404,20,0,0,29.880840301513672,29.880840301513672,29.880840301513672,29.880842208862305
CRVUSDT-HFTUSDC,04/01-07/15,32.79278,2.0611062049865723,21,1.561561,12,30,1441,15.284261,-4.9164925,21,0,0,29.880842208862305,29.880840301513672,29.880840301513672,29.880842208862305
CELOUSDT-ENJUSDT,04/01-07/15,-30.416334,2.177050828933716,22,-1.3825606,8,36,1441,4.1525946,-8.080228,22,0,0,29.880842208862305,29.880842208862305,29.880840301513672,29.880842208862305
DOTUSDT-FTTUSDT,04/01-07/15,-44.454544,2.0521702766418457,21,-2.116883,6,36,1441,16.269136,-22.376837,21,0,0,29.880842208862305,29.880840301513672,29.880840301513672,29.880842208862305
CRVUSDT-KDAUSDT,04/01-07/15,2.3802357,2.1906490325927734,22,0.10819253,11,33,1441,5.7621875,-10.426614,22,0,0,29.880842208862305,29.880842208862305,29.880840301513672,29.880842208862305
C98USDT-CHZUSDC,04/01-07/15,18.01056,1.690263032913208,17,1.0594447,9,25,1441,12.242181,-5.4934196,17,0,0,29.880840301513672,29.880842208862305,29.880840301513672,29.880842208862305
APEUSDC-HFTUSDC,04/01-07/15,95.6892,2.388584613800049,23,4.1604,12,34,1441,90.0821,-19.526575,23,0,0,29.880844116210938,29.880842208862305,29.880840301513672,29.880842208862305
HFTUSDC-KDAUSDT,04/01-07/15,-4.744423,1.845061182975769,20,-0.23722115,12,27,1441,12.592074,-29.335392,20,0,0,29.880840301513672,29.880842208862305,29.880840301513672,29.880842208862305
C98USDT-CHZUSDT,04/01-07/15,26.491495,1.8172610998153687,18,1.4717498,10,26,1441,10.372057,-4.627465,18,0,0,29.88083839416504,29.880842208862305,29.880840301513672,29.880842208862305
APEUSDT-HFTUSDC,04/01-07/15,32.526073,2.2145485877990723,23,1.4141771,11,34,1441,24.898481,-19.227299,23,0,0,29.880844116210938,29.880842208862305,29.880840301513672,29.880842208862305
GMTUSDC-HOOKUSDT,04/01-07/15,-43.905502,1.436877727508545,15,-2.9270334,6,24,1441,11.309769,-23.067348,15,0,0,29.880834579467773,29.880842208862305,29.880840301513672,29.880842208862305
GODSUSDT-KSMUSDT,04/01-07/15,-100.979256,2.24428653717041,20,-5.0489626,5,35,1441,25.919077,-34.54778,20,0,0,29.880840301513672,29.880842208862305,29.880840301513672,29.880842208862305
AXSUSDT-CRVUSDT,04/01-07/15,-32.477642,2.237255096435547,23,-1.4120713,10,36,1441,3.5758495,-17.449488,23,0,0,29.880844116210938,29.880842208862305,29.880840301513672,29.880842208862305
GMTUSDT-HOOKUSDT,04/01-07/15,-46.160877,1.3371942043304443,14,-3.2972054,5,23,1441,11.401148,-21.167517,14,0,0,29.880834579467773,29.880842208862305,29.880840301513672,29.880842208862305
C98USDT-FILUSDT,04/01-07/15,38.419548,2.0320396423339844,21,1.8295023,16,26,1441,12.935812,-8.707384,21,0,0,29.880842208862305,29.880842208862305,29.880840301513672,29.880842208862305
FTTUSDT-KSMUSDT,04/01-07/15,-43.8487,1.2244479656219482,12,-3.6540585,3,21,1441,34.033306,-32.35874,12,0,0,29.880836486816406,29.880842208862305,29.880840301513672,29.880842208862305
FIDAUSDT-HOOKUSDT,04/01-07/15,46.593685,1.4131633043289185,15,3.1062458,6,24,1441,39.81407,-13.809499,15,0,0,29.880834579467773,29.880842208862305,29.880840301513672,29.880842208862305
AGLAUSDT-ARBUSDC,04/01-07/15,220.91739,1.5850560665130615,16,13.807337,10,22,1441,64.30722,-13.140683,16,0,0,29.880840301513672,29.880842208862305,29.880840301513672,29.880842208862305
AVAUSDT-KASTAUSDT,04/01-07/15,-26.611061,2.151829242706299,22,-1.2095937,11,33,1441,9.514305,-16.027609,22,0,0,29.880842208862305,29.880842208862305,29.880840301513672,29.880842208862305
ADAUSDC-KDAUSDT,04/01-07/15,-16.79509,2.202510118484497,23,-0.7302213,10,36,1441,5.3948097,-7.91665,23,0,0,29.880844116210938,29.880842208862305,29.880840301513672,29.880842208862305
ACSUSDT-HOOKUSDT,04/01-07/15,1.4045281,0.9961590766906738,11,0.12768437,1,20,1441,22.406404,-8.761455,11,0,0,29.880836486816406,29.880842208862305,29.880840301513672,29.880842208862305
CRVUSDT-HFTUSDT,04/01-07/15,-13.745084,2.223383903503418,23,-0.5976123,8,38,1441,11.238187,-13.324369,23,0,0,29.880844116210938,29.880842208862305,29.880840301513672,29.880842208862305
ADAUSDT-KDAUSDT,04/01-07/15,8.350489,2.074889898300171,22,0.37956765,11,33,1441,15.486596,-7.816834,22,0,0,29.880842208862305,29.880840301513672,29.880840301513672,29.880842208862305
ATOMUSDT-GODSUSDT,04/16-07/30,17.172775,2.133021593093872,21,0.8177512,13,28,1441,10.762703,-12.6489725,21,0,0,30.994396209716797,30.99439811706543,30.99439811706543,30.994400024414062
FILUSDT-JUVUSDT,04/16-07/30,29.079136,2.033254623413086,21,1.3847208,10,31,1441,25.22031,-16.300863,21,0,0,30.994396209716797,30.99439811706543,30.99439811706543,30.994400024414062
ADAUSDC-KDAUSDT,04/16-07/30,-30.008678,2.176973819732666,22,-1.3640308,6,38,1441,5.0314636,-8.057683,22,0,0,30.994396209716797,30.994400024414062,30.99439811706543,30.994400024414062
CAKEUSDT-CITYUSDT,04/16-07/30,19.549484,1.708475112915039,17,1.1499697,7,27,1441,14.613984,-5.557967,17,0,0,30.994400024414062,30.99439811706543,30.99439811706543,30.994400024414062
AFCUSDT-C98USDT,04/16-07/30,8.446703,1.6476976871490479,17,0.49686489,8,26,1441,13.481309,-10.506163,17,0,0,30.994400024414062,30.99439811706543,30.99439811706543,30.994400024414062
ADAUSDT-KDAUSDT,04/16-07/30,-3.6482043,1.8780832290649414,19,-0.19201076,6,32,1441,11.057913,-4.0956163,19,0,0,30.99439811706543,30.99439811706543,30.99439811706543,30.994400024414062
DOTUSDC-FTTUSDT,04/16-07/30,-1.6636344,1.2790935039520264,13,-0.12797187,5,21,1441,6.708235,-4.162223,13,0,0,30.994394302368164,30.99439811706543,30.99439811706543,30.994400024414062
AXLUSDT-FILUSDT,04/16-07/30,-16.017586,1.2823054790496826,13,-1.232122,3,23,1441,7.3306046,-9.678137,13,0,0,30.994394302368164,30.994400024414062,30.99439811706543,30.994400024414062
GODSUSDT-KSMUSDT,04/16-07/30,22.579979,1.7190697193145752,17,1.3282341,7,27,1441,27.224916,-5.5715346,17,0,0,30.994400024414062,30.99439811706543,30.99439811706543,30.994400024414062
DOTUSDT-FTTUSDT,04/16-07/30,-3.6025434,1.2954059839248657,13,-0.2771187,5,21,1441,6.9372687,-9.637941,13,0,0,30.994394302368164,30.99439811706543,30.99439811706543,30.994400024414062
AXLUSDT-FILUSDC,04/16-07/30,6.001173,1.2008607387542725,12,0.50009775,4,20,1441,7.4224615,-4.4983096,12,0,0,30.994394302368164,30.99439811706543,30.99439811706543,30.994400024414062
C98USDT-CHZUSDC,04/16-07/30,20.260794,2.113227367401123,22,0.92094517,11,32,1441,11.451049,-3.094815,22,0,0,30.994396209716797,30.994400024414062,30.99439811706543,30.994400024414062
APEUSDC-HFTUSDC,04/16-07/30,0.5390334,1.4520134925842285,13,0.04146411,5,21,1441,15.2947645,-22.436245,13,0,0,30.994394302368164,30.994400024414062,30.99439811706543,30.994400024414062
CGPTUSDT-FILUSDT,04/16-07/30,7.8536787,1.457055687904358,14,0.56097704,6,22,1441,9.872861,-13.01197,14,0,0,30.994394302368164,30.99439811706543,30.99439811706543,30.994400024414062
C98USDT-CHZUSDT,04/16-07/30,62.966072,2.3863368034362793,22,2.8620942,15,28,1441,22.06963,-3.8604507,22,0,0,30.994396209716797,30.994400024414062,30.99439811706543,30.994400024414062
APEUSDT-HFTUSDC,04/16-07/30,-20.105148,1.4497613906860352,14,-1.436082,6,22,1441,14.578239,-31.94762,14,0,0,30.994394302368164,30.99439811706543,30.99439811706543,30.994400024414062
CGPTUSDT-FILUSDC,04/16-07/30,-0.015372515,1.606160044670105,16,-0.00096078217,5,27,1441,8.920084,-6.0696254,16,0,0,30.994400024414062,30.994400024414062,30.99439811706543,30.994400024414062
